2026-07-29 10:07:24 | INF | WINDOWS-UPDATE | KB=KB5104034 | Title=2026-07 .NET 10.0.10 Security Update for x64 Client (KB5104034) | Status=Skipped | 2026-07-29T10:07:23.8970029-05:00
2026-07-29 10:07:24 | INF | WINDOWS-UPDATE | KB= | Title=Intel Driver Update (2546.9.2.0) | Status=Skipped | 2026-07-29T10:07:23.9035673-05:00
2026-07-29 10:07:24 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-29T15:07:24.2460411Z
2026-07-29 10:07:44 | WRN | WINGET | Microsoft.VCLibs.14 | Status="Failed" | Error=winget exit code -2147024809:  | 2026-07-29T15:07:44.7765226Z
2026-07-29 10:07:46 | WRN | WINGET | Microsoft.PowerShell | Status="Failed" | Error=winget exit code -1978335090:  | 2026-07-29T15:07:46.7220903Z
2026-07-29 11:09:17 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-29T16:09:17.5498593Z
2026-07-29 12:10:42 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-29T17:10:42.1693875Z
2026-07-29 13:12:02 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-29T18:12:02.4195169Z
2026-07-29 14:13:22 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-29T19:13:22.9070775Z
2026-07-29 15:14:43 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-29T20:14:43.0650819Z
2026-07-29 16:16:02 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-29T21:16:02.9894443Z
2026-07-29 17:17:23 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-29T22:17:23.5485709Z
2026-07-29 18:19:04 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-29T23:19:04.0567450Z
2026-07-29 19:34:23 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-30T00:34:23.3769201Z
2026-07-29 21:09:26 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-30T02:09:26.7832185Z
2026-07-29 22:46:03 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-30T03:46:03.5144601Z
