Date,Log Source,Prompt Type,Time Prompt Shown/Received,Reboot/Countdown Target,Snooze Options Available,User Response,Time Response Sent,Time to Respond,SnoozeMinutes Sent,Exit Code,Actual Reboot Confirmed At,Notes
2026-08-03,UpdateNotifier-20260803.log,RebootRequired,07:46:43,,7,Snooze for 15 Minutes,07:46:58,0:00:15,15,0,,Normal flow
2026-08-03,UpdateNotifier-20260803.log,RebootRequired,08:01:58,,6,Reboot Now,08:02:02,0:00:04,0,0,2026-08-03 08:02:02,"User-initiated immediate reboot — legitimate, fully notified"
2026-08-06,UpdateNotifier-20260806.log,RebootRequired,12:50:05,,7,Snooze for 15 Minutes,12:50:22,0:00:17,15,0,,Normal flow
2026-08-06,UpdateNotifier-20260806.log,RebootRequired,13:05:22,,6,Snooze for 15 Minutes,13:05:34,0:00:12,15,0,,Normal flow
2026-08-06,UpdateNotifier-20260806.log,RebootRequired,13:20:35,,5,Snooze for 30 Minutes,13:20:44,0:00:09,30,0,,Normal flow
2026-08-06,UpdateNotifier-20260806.log,RebootRequired,13:50:44,,4,Snooze for 30 Minutes,13:50:52,0:00:08,30,0,,Normal flow
2026-08-06,UpdateNotifier-20260806.log,RebootRequired,14:20:53,,3,Snooze for 15 Minutes,14:21:01,0:00:08,15,0,,Only protected options remained
2026-08-06,UpdateNotifier-20260806.log,RebootRequired,14:36:02,,3,Snooze for 15 Minutes,14:36:46,0:00:44,15,0,,Only protected options remained
2026-08-06,UpdateNotifier-20260806.log,RebootRequired,14:51:46,,3,Reboot at 5:30 PM,14:51:50,0:00:04,-1,0,,"User picked the scheduled option after 6 consecutive snoozes over ~2 hours; schedules reboot for 2026-08-06 17:30"
2026-08-07,UpdateNotifier-20260807.log,RebootImminent (countdown) — STALE,08:19:22,2026-08-06 17:30:00 (~14h49m stale),,CRASH — no user response,,,,1,2026-08-07 08:19:22,"Stale-countdown crash: 'countdown expired — closing' logged before 'shown'; InvalidOperationException in App.xaml.cs:223; service saw EndOfStreamException reading the response and rebooted unattended"
2026-08-14,UpdateNotifier-20260814.log,RebootRequired,10:32:53,,7,Snooze for 3 Hours,11:39:01,1:06:08,180,0,,Normal flow
2026-08-14,UpdateNotifier-20260814.log,RebootRequired,14:39:00,,6,Snooze for 1 Hour,14:39:07,0:00:07,60,0,,"No further notifier activity is logged after this. No UpdateNotifier log file exists past 8/14, and no matching reboot appears in the service logs through 8/18 — this cycle's outcome is undetermined from the available logs"
