CapTG Updater - Reboot Prompt & Reboot Activity Report,,,,,,,,
Source logs: UpdateNotifier-*.log (prompt/response events), cross-referenced with UpdateService-*.log (actual reboot execution),,,,,,,
Report generated: 2026-08-17,,,,,,,,
,,,,,,,,
TABLE 1: Reboot Prompts (each time UpdateNotifier displayed a prompt to the user),,,,,,,,
Session,Prompt #,Prompt Date,Prompt Time,Message Type,User Response,Response Time,Time to Respond,Session Outcome
Session 1 (2026-07-30),1,7/30/2026,9:20:00,RebootRequired,Snooze for 3 Hours,9:21:04,0:01:04,Rebooted 2026-07-30 12:55:47
Session 1 (2026-07-30),2,7/30/2026,12:21:05,RebootRequired,Reboot Now,12:55:42,0:34:37,Rebooted 2026-07-30 12:55:47
Session 2 (2026-08-03),1,8/3/2026,9:07:10,RebootRequired,Snooze for 6 Hours,9:13:09,0:05:59,Rebooted 2026-08-03 15:14:53
Session 2 (2026-08-03),2,8/3/2026,15:13:08,RebootRequired,Reboot Now,15:14:48,0:01:40,Rebooted 2026-08-03 15:14:53
Session 3 (2026-08-07),1,8/7/2026,9:19:55,RebootRequired,Snooze for 3 Hours,9:20:03,0:00:08,Rebooted 2026-08-07 16:06:14
Session 3 (2026-08-07),2,8/7/2026,12:20:04,RebootRequired,Snooze for 3 Hours,12:52:02,0:31:58,Rebooted 2026-08-07 16:06:14
Session 3 (2026-08-07),3,8/7/2026,15:52:03,RebootRequired,Reboot Now,16:06:09,0:14:06,Rebooted 2026-08-07 16:06:14
Session 4 (2026-08-10 to 2026-08-12),1,8/10/2026,16:17:18,RebootRequired,Snooze for 6 Hours,16:17:31,0:00:13,Rebooted 2026-08-12 08:51:51 (delayed / see notes)
Session 4 (2026-08-10 to 2026-08-12),2,8/11/2026,13:13:45,RebootRequired,Snooze for 3 Hours,13:13:49,0:00:04,Rebooted 2026-08-12 08:51:51 (delayed / see notes)
Session 4 (2026-08-10 to 2026-08-12),3,8/11/2026,16:13:49,RebootRequired,Reboot at 5:30 PM (scheduled),16:14:00,0:00:11,Rebooted 2026-08-12 08:51:51 (delayed / see notes)
Session 4 (2026-08-10 to 2026-08-12),4,8/12/2026,8:51:45,RebootImminent,No response (notifier unreachable - EndOfStreamException),n/a,n/a,Rebooted 2026-08-12 08:51:51 (forced - overdue scheduled reboot)
Session 5 (2026-08-17),1,8/17/2026,8:25:32,RebootRequired,Snooze for 6 Hours,8:29:21,0:03:49,"Pending as of report date - next prompt due ~14:29 on 2026-08-17, no reboot yet"
,,,,,,,,
TABLE 2: Actual Reboots (confirmed system reboot executions),,,,,,,,
Session,Reboot Date,Reboot Triggered At,Reboot Executed At (+5s delay),Trigger,Notes,,,
Session 1,7/30/2026,12:55:42,12:55:47,User clicked 'Reboot Now',Immediate - same session as prompt,,,
Session 2,8/3/2026,15:14:48,15:14:53,User clicked 'Reboot Now',Immediate - same session as prompt,,,
Session 3,8/7/2026,16:06:09,16:06:14,User clicked 'Reboot Now',Immediate - same session as prompt,,,
Session 4,8/12/2026,8:51:46,8:51:51,Overdue scheduled reboot (originally set for 2026-08-11 17:30:00),"User scheduled reboot for 5:30 PM on 8/11 via 'Reboot at 5:30 PM' option, but machine was off/asleep at that time. Service detected the missed deadline at next startup (2026-08-12 08:51:45) and forced the reboot immediately, ~15 hours late.",,,
,,,,,,,,
NOTES,,,,,,,,
"- ""Time to Respond"" is the gap between the prompt appearing on screen and the user making a selection.",,,,,,,,
- All 4 completed sessions (2026-07-30, 2026-08-03, 2026-08-07, 2026-08-10/11/12) ended in an actual system reboot.,,,,,
- Session 4 is the only case where a scheduled reboot time was missed; the service force-rebooted at the next opportunity since the machine had already passed its scheduled time.,,,,,,,,
- Session 5 (2026-08-17) is still in progress as of the report date - only the initial prompt/snooze has occurred, no reboot yet.,,,,,,,
- No UpdateNotifier prompt was logged on 2026-08-13 despite UpdateService reporting RebootRequired=true all day; the reboot obligation from Session 4 had already been satisfied on 2026-08-12.,,,,,,,,
