2026-05-12 12:33:27 | INF | WINDOWS-UPDATE | KB=KB5089549 | Title=2026-05 Security Update (KB5089549) (26200.8457) | Status=Skipped | 2026-05-12T12:33:27.5313210-05:00
2026-05-12 12:33:27 | INF | WINDOWS-UPDATE | KB=KB5087051 | Title=2026-05 .NET Framework Security Update (KB5087051) | Status=Skipped | 2026-05-12T12:33:27.5303079-05:00
2026-05-12 12:33:27 | INF | WINDOWS-UPDATE | KB=KB5093446 | Title=2026-05 .NET 10.0.8 Security Update for x64 Client (KB5093446) | Status=Skipped | 2026-05-12T12:33:27.5263075-05:00
2026-05-12 12:33:27 | INF | WINDOWS-UPDATE | KB=KB890830 | Title=Windows Malicious Software Removal Tool x64 - v5.141 (KB890830) | Status=Skipped | 2026-05-12T12:33:27.5293072-05:00
2026-05-12 12:33:27 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-05-12T17:33:27.6261310Z
2026-05-12 13:38:53 | INF | WINDOWS-UPDATE | KB=KB5089549 | Title=2026-05 Security Update (KB5089549) (26200.8457) | Status=Skipped | 2026-05-12T13:38:53.5454450-05:00
2026-05-12 13:38:53 | INF | WINDOWS-UPDATE | KB=KB5087051 | Title=2026-05 .NET Framework Security Update (KB5087051) | Status=Skipped | 2026-05-12T13:38:53.5454450-05:00
2026-05-12 13:38:53 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-05-12T18:38:53.6160529Z
2026-05-12 14:44:00 | INF | WINDOWS-UPDATE | KB=KB5089549 | Title=2026-05 Security Update (KB5089549) (26200.8457) | Status=Skipped | 2026-05-12T14:44:00.2245748-05:00
2026-05-12 14:44:00 | INF | WINDOWS-UPDATE | KB=KB5087051 | Title=2026-05 .NET Framework Security Update (KB5087051) | Status=Skipped | 2026-05-12T14:44:00.2235747-05:00
2026-05-12 14:44:00 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-05-12T19:44:00.3031452Z
2026-05-12 15:48:42 | INF | WINDOWS-UPDATE | KB=KB5089549 | Title=2026-05 Security Update (KB5089549) (26200.8457) | Status=Skipped | 2026-05-12T15:48:42.7513662-05:00
2026-05-12 15:48:42 | INF | WINDOWS-UPDATE | KB=KB5087051 | Title=2026-05 .NET Framework Security Update (KB5087051) | Status=Skipped | 2026-05-12T15:48:42.7503661-05:00
2026-05-12 15:48:42 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-05-12T20:48:42.8377489Z
2026-05-12 16:53:21 | INF | WINDOWS-UPDATE | KB=KB5089549 | Title=2026-05 Security Update (KB5089549) (26200.8457) | Status=Skipped | 2026-05-12T16:53:21.2603899-05:00
2026-05-12 16:53:21 | INF | WINDOWS-UPDATE | KB=KB5087051 | Title=2026-05 .NET Framework Security Update (KB5087051) | Status=Skipped | 2026-05-12T16:53:21.2593901-05:00
2026-05-12 16:53:21 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-05-12T21:53:21.3418493Z
2026-05-12 17:57:58 | INF | WINDOWS-UPDATE | KB=KB5089549 | Title=2026-05 Security Update (KB5089549) (26200.8457) | Status=Skipped | 2026-05-12T17:57:58.1198292-05:00
2026-05-12 17:57:58 | INF | WINDOWS-UPDATE | KB=KB5087051 | Title=2026-05 .NET Framework Security Update (KB5087051) | Status=Skipped | 2026-05-12T17:57:58.1198292-05:00
2026-05-12 17:57:58 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-05-12T22:57:58.2078678Z
2026-05-12 19:02:37 | INF | WINDOWS-UPDATE | KB=KB5089549 | Title=2026-05 Security Update (KB5089549) (26200.8457) | Status=Skipped | 2026-05-12T19:02:37.1913485-05:00
2026-05-12 19:02:37 | INF | WINDOWS-UPDATE | KB=KB5087051 | Title=2026-05 .NET Framework Security Update (KB5087051) | Status=Skipped | 2026-05-12T19:02:37.1913485-05:00
